entry_price,exit_price,cycle_duration_days,loan_amount,origination_fee,total_loan_balance,payment_strategy,total_interest,final_loan_balance,interest_rate_effective,btc_purchased,btc_sold_during_cycle,btc_sold_at_exit,cure_btc_needed,net_btc_gain,margin_call_occurred,liquidation_occurred,worst_expected_drawdown,worst_ltv,exit_ltv,scenario_name,scenario_description,cycle,free_btc_before,collateral_btc,free_btc_after,total_btc
118000.0,104860.5917610872,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.0847457627118644,0.005330462378353172,0.10417617158683427,0,-0.024760871253323043,False,False,0.05525954087034182,0.6587541466029682,0.7234456360196825,sideways,Choppy sideways movement,1,0.096,0.144,0.07123912874667696,0.21523912874667694
104860.5917610872,118081.49116760243,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.09536471072739938,0.0,0.09258581733554866,0,0.002778893391850723,False,False,0.0783160009875217,0.7598424136197441,0.6429570648301991,moderate_growth,Steady upward trend,2,0.07123912874667696,0.144,0.07401802213852768,0.21801802213852767
118081.49116760243,132969.29115308292,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.08468727741425797,0.0,0.08221952059115993,0,0.0024677568230980357,False,False,0.0783160009875217,0.6747672674987354,0.5709688929941663,moderate_growth,Steady upward trend,3,0.07401802213852768,0.144,0.07648577896162571,0.2204857789616257
132969.29115308292,149734.15575060385,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.07520533435413555,0.0,0.07301387794353495,0,0.0021914564106006035,False,False,0.0783160009875217,0.5992174918463632,0.5070408190523261,moderate_growth,Steady upward trend,4,0.07648577896162571,0.144,0.07867723537222632,0.2226772353722263
149734.15575060385,129135.30177426673,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.06678502944014944,0.0,0.08466059413454234,0,-0.0178755646943929,False,False,0.17069258974705093,0.5914001899506763,0.5879207926009886,decline,Gradual decline,5,0.07867723537222632,0.144,0.060801670677833417,0.2048016706778334
129135.30177426673,114755.96746861172,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.07743815875755158,0.0,0.09526887022187468,0,-0.017830711464323093,False,False,0.05525954087034182,0.6019499566046655,0.6615893765407963,sideways,Choppy sideways movement,6,0.060801670677833417,0.144,0.042970959213510324,0.1869709592135103
114755.96746861172,98969.04560733364,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.08714143778828076,0.005558310573493202,0.11037769368153359,0,-0.02879456646674603,False,False,0.17069258974705093,0.7716619022643194,0.7665117616773167,decline,Gradual decline,7,0.042970959213510324,0.144,0.014176392746764292,0.1581763927467643
98969.04560733364,111447.13460491008,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.10104169378045408,0.0,0.09809737514302297,0,0.0029443186374311092,False,False,0.0783160009875217,0.8050752096111455,0.6812317718265485,moderate_growth,Steady upward trend,8,0.014176392746764292,0.144,0.0171207113841954,0.1611207113841954
111447.13460491008,125498.47010674402,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.08972864161515576,0.0,0.08711398125135665,0,0.0026146603637991067,False,False,0.0783160009875217,0.7149356097830869,0.6049582031344213,moderate_growth,Steady upward trend,9,0.0171207113841954,0.144,0.019735371747994508,0.1637353717479945
125498.47010674402,141321.4081722961,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.0796822462576189,0.0,0.07736033424337209,0,0.0023219120142468075,False,False,0.0783160009875217,0.6348884179191078,0.5372245433567506,moderate_growth,Steady upward trend,10,0.019735371747994508,0.144,0.022057283762241316,0.1660572837622413
141321.4081722961,121879.8917321854,180,10000.0,330.0,10330.0,deferred,602.6713719528407,10932.671371952842,6.026713719528407,0.07076068749476519,0.0,0.08970036990167263,0,-0.018939682406907438,False,False,0.17069258974705093,0.6266057584499127,0.6229192354282822,decline,Gradual decline,11,0.022057283762241316,0.144,0.003117601355333878,0.14711760135533386
121879.8917321854,108308.45398995085,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.08204798886738142,0.005160773870949974,0.10085985532591533,0,-0.023972640329483888,False,False,0.05525954087034182,0.6377835440644959,0.7004156619855232,sideways,Choppy sideways movement,12,0.003117601355333878,0.144,-0.02085503897415001,0.12314496102584999
108308.45398995085,93408.51337881993,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.09232889614441202,0.005889192245430886,0.11694838730274638,0,-0.030508683403765252,False,False,0.17069258974705093,0.817598302725542,0.8121415784912944,decline,Gradual decline,13,-0.02085503897415001,0.144,-0.05136372237791526,0.09263627762208473
93408.51337881993,83007.38973242788,180,10000.0,330.0,10330.0,monthly_payments,593.975,10923.975,5.93975,0.10705662298087132,0.0067338033536062745,0.13160243967691485,0,-0.0312796200496498,False,False,0.05525954087034182,0.8321831328575233,0.9139058310896865,sideways,Choppy sideways movement,14,-0.05136372237791526,0.144,-0.08264334242756506,0.06135665757243493
83007.38973242788,117986.17073742171,180,10000.0,330.0,10330.0,liquidated,0.0,10536.6,0.0,0.12047120180787198,0.0,0.0,0,-0.1152,False,True,0.07655027682129165,0.9580493296713553,0.6201644894143999,bull_run,Strong bull market,15,-0.08264334242756506,0.144,0.0,
